krx_isu_cd,company_name,stock_code,market,is_financial_distress,pattern,category,dart_candidate_names
00535,봉신,005350,유가증권,True,B,5_unresolved,심팩인더스트리
00537,원진,005370,코스닥,True,A,,
00539,신성통상,005390,유가증권,True,C,,
00541,신광산업,005410,유가증권,True,A,,
00545,신한,005450,유가증권,True,C,,
00551,충청은행,005510,유가증권,True,A,,
00556,JS전선,005560,유가증권,True,B,1_notation_diff,제이에스전선
00558,삼익주택,005580,유가증권,True,A,,
00560,중앙제지,005600,유가증권,True,C,,
00562,대성합동지주,005620,유가증권,True,C,,
00566,한진건설,005660,유가증권,True,A,,
00576,위너스인프라인,005760,유가증권,True,C,,
00577,광주은행,005770,유가증권,True,A,,
00579,만도기계,005790,유가증권,True,A,,
00589,동원증권,005890,유가증권,False,C,,
00590,동양건설,005900,유가증권,True,B,1_notation_diff,동양건설산업
00598,성지건설,005980,유가증권,True,C,,
00600,남송개발,006000,코스닥,True,A,,
00607,기린,006070,유가증권,True,C,,
00615,한메NS,006150,유가증권,True,B,1_notation_diff,한메엔에스
00616,신화건설,006160,유가증권,True,A,,
00621,휴리프,006210,유가증권,True,C,,
00625,극동전선,006250,유가증권,True,C,,
00629,인천정유,006290,유가증권,True,A,,
00630,대전금고,006300,코스닥,True,A,,
00632,경기은행,006320,유가증권,True,A,,
00635,전북은행,006350,유가증권,False,C,,
00639,한일현대시멘트,006390,유가증권,True,C,,
00644,한일건설,006440,유가증권,True,C,,
00654,한국금고,006540,코스닥,True,A,,
00658,대양제지,006580,코스닥,True,B,1_notation_diff,대양제지공업
00659,강원은행,006590,유가증권,True,A,,
00660,동신제약,006600,유가증권,True,C,,
00661,경남은행,006610,유가증권,True,A,,
00675,센추리,006750,유가증권,True,C,,
00689,태경화학,006890,코스닥,False,B,0_non_distress,태경케미컬
00700,한주전자,007000,유가증권,True,A,,
00702,캡스,007020,코스닥,True,A,,
00705,유리이에스,007050,유가증권,True,C,,
00709,대동금고,007090,코스닥,False,A,,
00710,호남식품,007100,유가증권,True,A,,
00712,국제전자,007120,코스닥,False,B,0_non_distress,미래아이앤지
00715,동양텔레콤,007150,코스닥,True,C,,
00717,기아차판매,007170,유가증권,True,A,,
00719,한솔아트원제지,007190,유가증권,True,C,,
00720,진흥저축은행,007200,유가증권,True,C,,
00724,충북은행,007240,유가증권,True,A,,
00726,동화금고,007260,코스닥,True,A,,
00736,하나은행,007360,유가증권,True,A,,
00738,고합물산,007380,유가증권,True,A,,
00741,대우전자,007410,유가증권,True,A,,
00742,해동금고,007420,유가증권,True,A,,
00748,대한은박지,007480,유가증권,True,C,,
00749,태창기업,007490,유가증권,True,C,,
00763,폴루스바이오팜,007630,유가증권,True,C,,
00764,HK저축은행,007640,코스닥,True,B,5_unresolved,애큐온저축은행
00766,이수페타시스,007660,코스닥,False,C,,
00780,솔로몬저축은행,007800,유가증권,True,C,,
00783,부산저축은행,007830,코스닥,True,C,,
00784,한국협화화학공업,007840,코스닥,True,A,,
00791,세원화성,007910,유가증권,True,C,,
00793,대신석유,007930,코스닥,True,A,,
00800,도레이케미칼,008000,유가증권,False,C,,
00802,경남에너지,008020,유가증권,True,C,,
00803,아이텍스필,008030,코스닥,True,C,,
00805,경북금고,008050,코스닥,True,A,,
00808,에스와이코퍼레이션,008080,유가증권,True,C,,
00810,거성산업,008100,유가증권,True,A,,
00811,대동전자,008110,유가증권,True,C,,
00812,모토조이,008120,유가증권,True,B,5_unresolved,엠소닉
00819,신호전자,008190,유가증권,True,A,,
00827,산은캐피탈,008270,유가증권,True,C,,
00832,한국기술산업,008320,유가증권,True,C,,
00834,코레스,008340,코스닥,True,B,5_unresolved,대주코레스
00840,C&중공업,008400,유가증권,True,B,1_notation_diff,씨앤중공업
00844,아이넥스,008440,유가증권,True,A,,
00848,KEP전자,008480,유가증권,True,A,,
00850,일정실업,008500,유가증권,True,C,,
00853,일은증권,008530,유가증권,True,A,,
00854,케이비물산,008540,유가증권,True,C,,
00856,메리츠증권,008560,유가증권,False,C,,
